七變,大西瓜,大麻葉,小西瓜,白斑合果芋,白斑姑婆芋,白斑龜貝芋,明脈火鶴,油畫竹芋,紅玉椒草,姬龜背芋,斑葉心葉,斑葉白鶴芋,斑葉豹紋,絨葉蔓綠絨,黑合果芋,黑頂卷柏,瑞士起司,銅鏡觀音蓮,獨角獸,飄帶火鶴,灑金蔓綠絨
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1
0,0,2,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,3
2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,2,0
0,0,0,0,0,0,0,0,6,1,0,2,0,0,1,0,0,1,0,0,2,0
0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,5,0
1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,2,0,1,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
,0,0,0,4,,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,13,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,4,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,0,1,0,7,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,0,0,0,6,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,6,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
,0,0,0,2,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
,0,0,0,3,,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0
,0,0,0,2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
,0,0,0,2,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
,0,0,0,2,,0,0,0,0,0,0,1,0,2,0,0,0,2,0,,0
,0,0,0,1,,0,0,0,0,0,0,2,0,1,0,0,0,0,0,,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,0,0,7,,0,0,0,0,0,0,1,0,1,2,0,0,1,0,,0
,0,0,0,1,,0,0,0,0,0,4,1,0,0,0,0,0,1,0,,1
,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0
,0,1,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,1
,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,0,0,1,,0,0,0,0,0,1,2,0,0,0,0,0,1,0,,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0
,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,0,0,1,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0
,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
,0,1,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,0,0,1,,0,0,0,0,0,0,2,0,0,0,0,0,0,1,,0
,0,0,0,2,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,1
,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0
,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,0,0,1,,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,0
,0,1,0,2,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,0
